epoch: 15, lr: 8.73e-01 - train loss: 1.21e-01 - valid loss: 2.71e-01, valid summary: {'TP': 591931.0, 'TN': 286933.0, 'FP': 36988.0, 'FN': 50148.0, 'FAR': 0.11418833604489631, 'FRR': 0.07810253878416709, 'DER': 0.09914617051102219, 'threshold': 0.5, 'precision': 0.9411879749220338, 'recall': 0.9218974612158173, 'F-score': 0.9314428504214798, 'MCC': 0.8000263295258213}
epoch: 16, lr: 8.64e-01 - train loss: 1.17e-01 - valid loss: 2.43e-01, valid summary: {'TP': 622970.0, 'TN': 262632.0, 'FP': 61289.0, 'FN': 19109.0, 'FAR': 0.18920971471438439, 'FRR': 0.02976113531200943, 'DER': 0.09078344448183168, 'threshold': 0.5, 'precision': 0.9104301149126148, 'recall': 0.9702388646879749, 'F-score': 0.9393834754037056, 'MCC': 0.8112332510771878}
epoch: 17, lr: 8.55e-01 - train loss: 1.19e-01 - valid loss: 2.38e-01, valid summary: {'TP': 607487.0, 'TN': 283884.0, 'FP': 40037.0, 'FN': 34592.0, 'FAR': 0.12360112496565138, 'FRR': 0.05387499046067456, 'DER': 0.08372383665162897, 'threshold': 0.5, 'precision': 0.9381690871689553, 'recall': 0.9461250095393099, 'F-score': 0.9421302524885565, 'MCC': 0.8260303667491452}
epoch: 18, lr: 8.45e-01 - train loss: 1.17e-01 - valid loss: 2.30e-01, valid summary: {'TP': 608675.0, 'TN': 285202.0, 'FP': 38719.0, 'FN': 33404.0, 'FAR': 0.11953223162437386, 'FRR': 0.05202475084841504, 'DER': 0.08068559768290177, 'threshold': 0.5, 'precision': 0.9401925257262047, 'recall': 0.9479752491515694, 'F-score': 0.9440678478727356, 'MCC': 0.831888492966806}
epoch: 19, lr: 8.36e-01 - train loss: 1.15e-01 - valid loss: 2.33e-01, valid summary: {'TP': 614550.0, 'TN': 279323.0, 'FP': 44598.0, 'FN': 27529.0, 'FAR': 0.13768171869066415, 'FRR': 0.04287478643593634, 'DER': 0.08069043365220696, 'threshold': 0.5, 'precision': 0.9323399297274522, 'recall': 0.9571252135640481, 'F-score': 0.9445700096908534, 'MCC': 0.8309537435766092}
epoch: 20, lr: 8.27e-01 - train loss: 1.14e-01 - valid loss: 2.28e-01, valid summary: {'TP': 605640.0, 'TN': 287721.0, 'FP': 36200.0, 'FN': 36439.0, 'FAR': 0.11175564412310064, 'FRR': 0.05675158352788275, 'DER': 0.08130979525634004, 'threshold': 0.5, 'precision': 0.9435996510033506, 'recall': 0.9432484164721017, 'F-score': 0.943424001046795, 'MCC': 0.8313409288087287}
epoch: 21, lr: 8.18e-01 - train loss: 1.13e-01 - valid loss: 3.02e-01, valid summary: {'TP': 567445.0, 'TN': 294549.0, 'FP': 29372.0, 'FN': 74634.0, 'FAR': 0.09067643036419093, 'FRR': 0.11623803301462723, 'DER': 0.12065745237205687, 'threshold': 0.5, 'precision': 0.9507855841907829, 'recall': 0.8837619669853571, 'F-score': 0.9160494504784905, 'MCC': 0.7705350082607735}
epoch: 22, lr: 8.09e-01 - train loss: 1.13e-01 - valid loss: 2.34e-01, valid summary: {'TP': 609209.0, 'TN': 284567.0, 'FP': 39354.0, 'FN': 32870.0, 'FAR': 0.1214925861552625, 'FRR': 0.05119307748734889, 'DER': 0.08080771916005709, 'threshold': 0.5, 'precision': 0.9393212378751032, 'recall': 0.9488069225126355, 'F-score': 0.9440402528354106, 'MCC': 0.8315329784600292}
epoch: 23, lr: 8.00e-01 - train loss: 1.11e-01 - valid loss: 2.27e-01, valid summary: {'TP': 619298.0, 'TN': 274544.0, 'FP': 49377.0, 'FN': 22781.0, 'FAR': 0.15243531601840718, 'FRR': 0.0354800577499025, 'DER': 0.08072791388187084, 'threshold': 0.5, 'precision': 0.9261569521815392, 'recall': 0.9645199422500819, 'F-score': 0.9449492429548184, 'MCC': 0.8305997902909865}
epoch: 24, lr: 7.91e-01 - train loss: 1.10e-01 - valid loss: 2.32e-01, valid summary: {'TP': 608455.0, 'TN': 283400.0, 'FP': 40521.0, 'FN': 33624.0, 'FAR': 0.12509531645061217, 'FRR': 0.05236738781364828, 'DER': 0.08313571152261205, 'threshold': 0.5, 'precision': 0.937561635561239, 'recall': 0.9476326121863361, 'F-score': 0.9425702235768422, 'MCC': 0.8270066379558734}
epoch: 25, lr: 7.82e-01 - train loss: 1.09e-01 - valid loss: 2.43e-01, valid summary: {'TP': 597003.0, 'TN': 290281.0, 'FP': 33640.0, 'FN': 45076.0, 'FAR': 0.1038524825497543, 'FRR': 0.07020319929478973, 'DER': 0.08871567615329377, 'threshold': 0.5, 'precision': 0.9466576177012835, 'recall': 0.9297968007051947, 'F-score': 0.9381514580560405, 'MCC': 0.819066337611514}
epoch: 26, lr: 7.73e-01 - train loss: 1.08e-01 - valid loss: 2.29e-01, valid summary: {'TP': 608834.0, 'TN': 283580.0, 'FP': 40341.0, 'FN': 33245.0, 'FAR': 0.12453962540248627, 'FRR': 0.05177711776899647, 'DER': 0.08245724517992678, 'threshold': 0.5, 'precision': 0.9378580506026736, 'recall': 0.9482228822309879, 'F-score': 0.9430119867973303, 'MCC': 0.8282918883956106}
epoch: 27, lr: 7.64e-01 - train loss: 1.07e-01 - valid loss: 2.31e-01, valid summary: {'TP': 621529.0, 'TN': 271063.0, 'FP': 52858.0, 'FN': 20550.0, 'FAR': 0.16318176345466445, 'FRR': 0.03200540743428718, 'DER': 0.08224138240091686, 'threshold': 0.5, 'precision': 0.9216206718100894, 'recall': 0.9679945925656972, 'F-score': 0.9442385902864183, 'MCC': 0.8276574727307936}
epoch: 28, lr: 7.55e-01 - train loss: 1.08e-01 - valid loss: 2.23e-01, valid summary: {'TP': 612346.0, 'TN': 284187.0, 'FP': 39734.0, 'FN': 29733.0, 'FAR': 0.1226657117013061, 'FRR': 0.04630738585127303, 'DER': 0.07748404130132323, 'threshold': 0.5, 'precision': 0.9390657588025865, 'recall': 0.9536926141487114, 'F-score': 0.9463226697801429, 'MCC': 0.8376622337023341}
epoch: 29, lr: 7.45e-01 - train loss: 1.06e-01 - valid loss: 2.22e-01, valid summary: {'TP': 613018.0, 'TN': 283333.0, 'FP': 40588.0, 'FN': 29061.0, 'FAR': 0.1253021570074146, 'FRR': 0.045260785666560575, 'DER': 0.07770281954278985, 'threshold': 0.5, 'precision': 0.9379014268534723, 'recall': 0.9547392143334238, 'F-score': 0.9462454223055758, 'MCC': 0.8371202792316382}
epoch: 30, lr: 7.36e-01 - train loss: 1.05e-01 - valid loss: 2.28e-01, valid summary: {'TP': 618048.0, 'TN': 277379.0, 'FP': 46542.0, 'FN': 24031.0, 'FAR': 0.14368318201042402, 'FRR': 0.03742685868872775, 'DER': 0.07881491176835098, 'threshold': 0.5, 'precision': 0.9299688529770094, 'recall': 0.9625731413112567, 'F-score': 0.9459901474665734, 'MCC': 0.8344178802562893}
epoch: 31, lr: 7.27e-01 - train loss: 1.04e-01 - valid loss: 2.22e-01, valid summary: {'TP': 612993.0, 'TN': 282594.0, 'FP': 41327.0, 'FN': 29086.0, 'FAR': 0.12758357747722043, 'FRR': 0.04529972168533708, 'DER': 0.07862217740989899, 'threshold': 0.5, 'precision': 0.9368397725883216, 'recall': 0.9547002783146473, 'F-score': 0.9456857032441401, 'MCC': 0.8352779369471607}
epoch: 32, lr: 7.18e-01 - train loss: 1.04e-01 - valid loss: 2.24e-01, valid summary: {'TP': 611847.0, 'TN': 282917.0, 'FP': 41004.0, 'FN': 30232.0, 'FAR': 0.12658642076308338, 'FRR': 0.047084548786052074, 'DER': 0.07961428935451047, 'threshold': 0.5, 'precision': 0.937192406843201, 'recall': 0.9529154512139323, 'F-score': 0.9449885321986516, 'MCC': 0.833459007269251}
